hash,search_model,ncoeff,n_train,test_energy_mae_per_atom_eV,test_energy_rmse_per_atom_eV,fit_time_s,meets_all_criteria,error_from_fit,rcut,regularization,weight_energy,weight_force,bessel_polynomial_degree,inverse_polynomial_degree,two_body_radial,three_body_radial,three_body_angular,four_body_radial,four_body_angular,five_body_radial,five_body_angular,six_body_radial,six_body_angular,seven_body_radial,seven_body_angular,tblg_21.78_converged,tblg_21.78_fmax_initial,tblg_21.78_fmax_after,tblg_21.78_ab_separation,tblg_21.78_aa_separation,tblg_21.78_sep_min,tblg_21.78_sep_max,tblg_21.78_ab_in_target,tblg_21.78_aa_in_target,tblg_21.78_sep_min_in_target,tblg_21.78_sep_max_in_target,tblg_21.78_ab_lt_aa,tblg_21.78_separations_ok,tblg_21.78_error,tblg_9.43_converged,tblg_9.43_fmax_initial,tblg_9.43_fmax_after,tblg_9.43_ab_separation,tblg_9.43_aa_separation,tblg_9.43_sep_min,tblg_9.43_sep_max,tblg_9.43_ab_in_target,tblg_9.43_aa_in_target,tblg_9.43_sep_min_in_target,tblg_9.43_sep_max_in_target,tblg_9.43_ab_lt_aa,tblg_9.43_separations_ok,tblg_9.43_error
8bba0bbcbbfccbcc,POD_energy,40,1120,0.0031502786954302818,0.033306694086441296,15.604190587997437,False,,7.0,1e-12,1000.0,0.0,8,12,11,4,4,2,2,0,0,0,0,0,0,True,0.04557022506681072,0.0009292427565360155,3.461264098082488,3.468949825304133,3.4612640980824807,3.4689498253041364,True,True,True,True,True,True,,True,0.05488429922056845,0.0009342370830334909,2.3173152814298703,4.673329016815234,2.317315281429707,4.673329016815238,False,False,False,False,True,False,
43c488229022b560,POD_energy,47,1120,0.0042489165240717905,0.050193838003696145,16.016748428344727,False,,7.0,1e-12,1000.0,0.0,8,12,8,6,4,2,2,0,0,0,0,0,0,True,0.05365779404284174,0.0009743512033274872,3.466442998068608,3.4777892125902063,3.466442998068601,3.477789212590224,True,True,True,True,True,True,,True,0.06564666020427212,0.0009944151080316464,2.551735597640196,4.524474017789693,2.5517355976373253,4.524474017789714,False,False,False,False,True,False,
1efe6d517ffa4d93,POD_energy,51,1120,0.004423745501744593,0.051244979294320564,17.54892110824585,True,,7.0,1e-12,1000.0,0.0,8,12,12,6,4,2,2,0,0,0,0,0,0,True,0.057829173237943746,0.0009842919136920448,3.4521072001548987,3.4662336141397923,3.4521072001548774,3.46623361413981,True,True,True,True,True,True,,True,0.06786170149814355,0.000996524258125353,3.4276802279532212,3.527709449474507,3.4276802279532177,3.527709449474507,True,True,True,True,True,True,
b6c72aa6d31848d0,POD_energy,77,1120,0.004092835119259571,0.05345412577736693,31.754772901535034,True,,7.0,1e-12,1000.0,0.0,8,12,12,8,6,2,2,0,0,0,0,0,0,True,0.05024681992080296,0.0008924423890480119,3.4560466597698323,3.4700939210862707,3.456046659769818,3.4700939210862813,True,True,True,True,True,True,,True,0.057507047184591764,0.0009825338145753315,3.43278144142338,3.5293713261418667,3.432781441423373,3.52937132614187,True,True,True,True,True,True,
4b88a52de74d5df4,POD_energy,112,1120,0.0034220095236416827,0.044456848357681,82.7557008266449,True,,7.0,1e-12,1000.0,0.0,8,12,13,10,8,2,2,0,0,0,0,0,0,True,0.05234836415402843,0.0009863560846227748,3.4558255009653003,3.461473627589406,3.4558255009652967,3.461473627589413,True,True,True,True,True,True,,True,0.05664607047042186,0.0009854088220864754,3.434157309616591,3.5148624641682993,3.4341573096165874,3.514862464168303,True,True,True,True,True,True,
bd8ab753106c4d8e,POD_energy,90,1120,0.0023244784564257414,0.027508346129976845,54.14478945732117,True,,7.0,1e-12,1000.0,0.0,8,12,9,8,8,2,2,0,0,0,0,0,0,True,0.05262158658599206,0.0008740108204864593,3.4612629251791596,3.4722868224939987,3.461262925179149,3.472286822494013,True,True,True,True,True,True,,True,0.06120830932560156,0.0009676577835707709,3.4416484928134174,3.513292118970707,3.441648492813414,3.5132921189707105,True,True,True,True,True,True,
931c1b5c6e5189bd,POD_energy,58,1120,0.004164812257728556,0.049040872808082975,23.79966449737549,True,,7.0,1e-12,1000.0,0.0,8,12,7,6,6,2,2,0,0,0,0,0,0,True,0.0397446743134203,0.0009000248113900655,3.461523333790332,3.4678331919286656,3.4615233337903177,3.4678331919286762,True,True,True,True,True,True,,True,0.052226582074438144,0.000990273800763719,3.433801419635529,3.526543381985416,3.433801419635529,3.5265433819854195,True,True,True,True,True,True,
3c581e81d4fbba9e,POD_energy,72,1120,0.008911505551208978,0.12121473022360163,24.057098627090454,True,,7.0,1e-12,1000.0,0.0,8,12,13,10,4,2,2,0,0,0,0,0,0,True,0.06345328205606662,0.000987082108165005,3.4629946432104752,3.477368279514085,3.4629946432104646,3.4773682795140886,True,True,True,True,True,True,,True,0.07174822426368783,0.000993441336814893,3.423116396013885,3.5458465691538947,3.4231163960138815,3.5458465691538947,True,True,True,True,True,True,
2364379d3dc3a254,POD_energy,90,1120,0.001073468032004245,0.011488064761863818,34.83365821838379,True,,7.0,1e-12,1000.0,0.0,8,12,11,10,6,2,2,0,0,0,0,0,0,True,0.034435402881007285,0.000939096256890687,3.455517842044472,3.459384733860034,3.4555178420444648,3.4593847338600483,True,True,True,True,True,True,,True,0.05242269965277668,0.0008832534195488512,3.442633976020687,3.485281051932432,3.44263397602068,3.4852810519324393,True,True,True,True,True,True,
f80bad462e29603b,POD_energy,91,1120,0.0022408529566808355,0.02626780869441795,62.424236536026,True,,7.0,1e-12,1000.0,0.0,8,12,10,8,8,2,2,0,0,0,0,0,0,True,0.052380388995433735,0.0009269337367827923,3.461569739275454,3.4723589516747104,3.461569739275454,3.472358951674714,True,True,True,True,True,True,,True,0.06117781060617111,0.000996268189197774,3.4423975464733054,3.5125631913603534,3.442397546473302,3.512563191360357,True,True,True,True,True,True,
