hash,search_model,ncoeff,n_train,test_energy_mae_per_atom_eV,test_energy_rmse_per_atom_eV,fit_time_s,meets_all_criteria,error_from_fit,rcut,regularization,weight_energy,weight_force,bessel_polynomial_degree,inverse_polynomial_degree,two_body_radial,three_body_radial,three_body_angular,four_body_radial,four_body_angular,five_body_radial,five_body_angular,six_body_radial,six_body_angular,seven_body_radial,seven_body_angular,tblg_21.78_converged,tblg_21.78_fmax_initial,tblg_21.78_fmax_after,tblg_21.78_ab_separation,tblg_21.78_aa_separation,tblg_21.78_sep_min,tblg_21.78_sep_max,tblg_21.78_ab_in_target,tblg_21.78_aa_in_target,tblg_21.78_sep_min_in_target,tblg_21.78_sep_max_in_target,tblg_21.78_ab_lt_aa,tblg_21.78_separations_ok,tblg_21.78_error,tblg_9.43_converged,tblg_9.43_fmax_initial,tblg_9.43_fmax_after,tblg_9.43_ab_separation,tblg_9.43_aa_separation,tblg_9.43_sep_min,tblg_9.43_sep_max,tblg_9.43_ab_in_target,tblg_9.43_aa_in_target,tblg_9.43_sep_min_in_target,tblg_9.43_sep_max_in_target,tblg_9.43_ab_lt_aa,tblg_9.43_separations_ok,tblg_9.43_error
8bba0bbcbbfccbcc,POD_energy,40,890,0.0005802580757378285,0.0009530687039697182,5.3792884349823,True,,7.0,1e-12,1000.0,0.0,8,12,11,4,4,2,2,0,0,0,0,0,0,True,0.053587683309073854,0.000991896394138006,3.4888859101533463,3.4947855689392036,3.4888859101533427,3.494785568939207,True,True,True,True,True,True,,True,0.06066212207832988,0.0008705634342733859,3.479014419976526,3.5188357482173878,3.479014419976515,3.5188357482173984,True,True,True,True,True,True,
43c488229022b560,POD_energy,47,890,0.00041031578160665875,0.0013945835481424633,5.393633604049683,False,,7.0,1e-12,1000.0,0.0,8,12,8,6,4,2,2,0,0,0,0,0,0,True,0.05919266316505388,0.0008873303428856694,3.4730690702544997,3.481164821127127,3.473069070254496,3.4811648211271446,True,True,True,True,True,True,,True,0.06596469926678986,0.0009505791686246212,2.22559765809919,7.028981894451341,2.2255976580991828,7.028981894451341,False,False,False,False,True,False,
1efe6d517ffa4d93,POD_energy,51,890,0.0003109571244265725,0.0006605282423051,8.24182391166687,False,,7.0,1e-12,1000.0,0.0,8,12,12,6,4,2,2,0,0,0,0,0,0,True,0.055571114851793224,0.0009731842687159542,3.458916551928592,3.4755624678975643,3.4589165519285814,3.475562467897575,True,True,True,True,True,True,,True,0.057496420940752586,0.0009963961789623,2.447767250099364,7.309046794215032,2.4477672500993535,7.3090467942150426,False,False,False,False,True,False,
b6c72aa6d31848d0,POD_energy,77,890,0.00013392769273682238,0.00048637879103060743,0.0,False,,7.0,1e-12,1000.0,0.0,8,12,12,8,6,2,2,0,0,0,0,0,0,True,0.06798185854130293,0.0009656559743478066,3.4746242459167505,3.4768261436426684,3.4746242459167433,3.4768261436426755,True,True,True,True,True,True,,False,0.05097960223599385,1.1688090725700044,2.8401061250620714,7.064066375745142,2.8401061250620643,7.064066375745149,False,False,False,False,True,False,
4b88a52de74d5df4,POD_energy,112,890,0.00010893093457259928,0.0005159111932311283,24.940200805664062,False,,7.0,1e-12,1000.0,0.0,8,12,13,10,8,2,2,0,0,0,0,0,0,True,0.043541070457933366,0.0008760890853292125,3.475029439216083,3.4812559581413893,3.4750294392160797,3.4812559581413893,True,True,True,True,True,True,,False,,,,,,,,,,,,,TBLG relax timed out after 600 s
bd8ab753106c4d8e,POD_energy,90,890,0.00011343216889186263,0.0005865956269211311,14.804042100906372,False,,7.0,1e-12,1000.0,0.0,8,12,9,8,8,2,2,0,0,0,0,0,0,True,0.04768328812334843,0.0008592697593157173,3.46950144995235,3.473801064752106,3.4695014499523396,3.4738010647521094,True,True,True,True,True,True,,False,0.053001604926713464,1.0398138671931296,2.7350119583457833,7.342218586635422,2.7350119583457726,7.3422185866354255,False,False,False,False,True,False,
931c1b5c6e5189bd,POD_energy,58,890,0.00025045081503591543,0.0012684637519542992,7.2528252601623535,False,,7.0,1e-12,1000.0,0.0,8,12,7,6,6,2,2,0,0,0,0,0,0,True,0.061681849202863764,0.0008526779069381688,3.4793614731214504,3.482695132793335,3.4793614731214433,3.4826951327933457,True,True,True,True,True,True,,False,0.05177806693348305,1.3879900686291877,2.648215769194259,7.2393703963914255,2.648215769194252,7.239370396391429,False,False,False,False,True,False,
3c581e81d4fbba9e,POD_energy,72,890,0.00015715609694666455,0.0004261812458131022,7.270977020263672,False,,7.0,1e-12,1000.0,0.0,8,12,13,10,4,2,2,0,0,0,0,0,0,True,0.04799337571051846,0.0009367084794775292,3.479082693665571,3.4827461352020137,3.4790826936655677,3.482746135202021,True,True,True,True,True,True,,False,0.060784005099970395,25.509263108530625,,,,,,,,,,,
2364379d3dc3a254,POD_energy,90,890,0.00012725043392548376,0.0006630465450497453,10.072308540344238,False,,7.0,1e-12,1000.0,0.0,8,12,11,10,6,2,2,0,0,0,0,0,0,True,0.08179199062707872,0.0009272010775673856,3.4758140438150456,3.480393823701398,3.475814043815042,3.480393823701405,True,True,True,True,True,True,,False,0.055950346950349776,1.3193613041572045,2.1884391159070624,7.287328903132341,2.1884391159070375,7.287328903132348,False,False,False,False,True,False,
f80bad462e29603b,POD_energy,91,890,0.0001079197239426937,0.0005055388311290399,14.62687063217163,False,,7.0,1e-12,1000.0,0.0,8,12,10,8,8,2,2,0,0,0,0,0,0,True,0.048519628581675356,0.0009984020339475056,3.468412754337667,3.472895906039124,3.4684127543376633,3.4728959060391276,True,True,True,True,True,True,,False,0.05316040691256618,1.1034810057848672,2.714494379651054,7.36915859089644,2.714494379651029,7.369158590896461,False,False,False,False,True,False,
