hash,search_model,ncoeff,n_train,test_energy_mae_per_atom_eV,test_energy_rmse_per_atom_eV,fit_time_s,meets_all_criteria,error_from_fit,rcut,regularization,weight_energy,weight_force,bessel_polynomial_degree,inverse_polynomial_degree,two_body_radial,three_body_radial,three_body_angular,four_body_radial,four_body_angular,five_body_radial,five_body_angular,six_body_radial,six_body_angular,seven_body_radial,seven_body_angular,tblg_21.78_converged,tblg_21.78_fmax_initial,tblg_21.78_fmax_after,tblg_21.78_ab_separation,tblg_21.78_aa_separation,tblg_21.78_sep_min,tblg_21.78_sep_max,tblg_21.78_ab_in_target,tblg_21.78_aa_in_target,tblg_21.78_sep_min_in_target,tblg_21.78_sep_max_in_target,tblg_21.78_ab_lt_aa,tblg_21.78_separations_ok,tblg_21.78_error,tblg_9.43_converged,tblg_9.43_fmax_initial,tblg_9.43_fmax_after,tblg_9.43_ab_separation,tblg_9.43_aa_separation,tblg_9.43_sep_min,tblg_9.43_sep_max,tblg_9.43_ab_in_target,tblg_9.43_aa_in_target,tblg_9.43_sep_min_in_target,tblg_9.43_sep_max_in_target,tblg_9.43_ab_lt_aa,tblg_9.43_separations_ok,tblg_9.43_error
a540ef02e3af82cc,PODD3_energy,40,988,0.000709432555204413,0.002456414647929647,11.84161901473999,True,,6.0,1e-12,1000.0,0.0,8,12,11,4,4,2,2,0,0,0,0,0,0,True,0.07566470631119875,0.0009335831929189794,3.4699835355662536,3.4913399155242324,3.469983535566243,3.491339915524243,True,True,True,True,True,True,,True,0.07302022742785835,0.0009662055783632439,3.4040114924034626,3.623063998664101,3.4040114924034626,3.623063998664108,True,True,True,True,True,True,
fa37cebbef997289,PODD3_energy,47,988,0.0004127380812284994,0.0006627089323836235,13.364450454711914,False,,6.0,1e-12,1000.0,0.0,8,12,8,6,4,2,2,0,0,0,0,0,0,True,0.062304536514096176,0.0009224647050169073,3.4653956443732596,3.482198915831898,3.4653956443732525,3.4821989158319155,True,True,True,True,True,True,,True,0.06320711701074215,0.0009991063689305877,3.184862807468935,4.043196719833077,3.1848628074689316,4.043196719833098,True,False,True,False,True,False,
4938b8538c082a40,PODD3_energy,51,988,0.00044733016367592835,0.001022403994021748,15.057615995407104,True,,6.0,1e-12,1000.0,0.0,8,12,12,6,4,2,2,0,0,0,0,0,0,True,0.06255730106853752,0.0009455139016985121,3.4638291421684606,3.479586256852187,3.463829142168457,3.479586256852187,True,True,True,True,True,True,,True,0.0657127828635631,0.0009882126523829812,3.2630237306052905,3.875721995577827,3.2630237306052834,3.875721995577834,True,True,True,True,True,True,
31fc47fea5c4730a,PODD3_energy,77,988,0.00026814925248934077,0.000994934514003605,23.954369068145752,True,,6.0,1e-12,1000.0,0.0,8,12,12,8,6,2,2,0,0,0,0,0,0,True,0.06407611546627925,0.0009699189630463336,3.479257404557,3.4964935156095542,3.4792574045569893,3.496493515609558,True,True,True,True,True,True,,True,0.06286989817629404,0.0007809093963242033,3.4594509426283864,3.528718394419762,3.4594509426283864,3.5287183944197693,True,True,True,True,True,True,
c6da04f48627ae9b,PODD3_energy,112,988,0.00016580901776975274,0.00034126586809236085,55.56558442115784,True,,6.0,1e-12,1000.0,0.0,8,12,13,10,8,2,2,0,0,0,0,0,0,True,0.057379365334321794,0.0009199091950278515,3.4619004091323227,3.475543999657976,3.461900409132319,3.4755439996579796,True,True,True,True,True,True,,True,0.060356868236084465,0.0009876242510530736,3.4301290814279213,3.547313139739174,3.4301290814279213,3.547313139739181,True,True,True,True,True,True,
b76b9acc824f6e7e,PODD3_energy,90,988,0.00023027002791619998,0.0006430276188042321,37.51200580596924,True,,6.0,1e-12,1000.0,0.0,8,12,9,8,8,2,2,0,0,0,0,0,0,True,0.07403317174458612,0.0009468210446458153,3.4575268876309053,3.477952782105536,3.4575268876309053,3.4779527821055467,True,True,True,True,True,True,,True,0.06327182738649872,0.000987417124691801,3.4219214476277067,3.5456171763495448,3.421921447627703,3.545617176349552,True,True,True,True,True,True,
4eee5f94a4badce7,PODD3_energy,58,988,0.0003998128204736176,0.0006729965983038707,19.728947162628174,True,,6.0,1e-12,1000.0,0.0,8,12,7,6,6,2,2,0,0,0,0,0,0,True,0.06235379379508277,0.0009992758178126418,3.4634011969208025,3.480678946406808,3.463401196920792,3.4806789464068117,True,True,True,True,True,True,,True,0.06727588583626655,0.0009985459955436093,3.2532765723844506,3.9674673691507643,3.2532765723844435,3.967467369150768,True,True,True,True,True,True,
f1a7a24f5d1d0760,PODD3_energy,72,988,0.000247202017983054,0.00040844976963437914,17.58620285987854,True,,6.0,1e-12,1000.0,0.0,8,12,13,10,4,2,2,0,0,0,0,0,0,True,0.06504000021670028,0.0008831014342635564,3.469149346579595,3.4824928732518394,3.4691493465795844,3.482492873251843,True,True,True,True,True,True,,True,0.0637120933047235,0.0008916474090101145,3.4488337005200904,3.522182309588409,3.4488337005200904,3.522182309588409,True,True,True,True,True,True,
c538624df38afef8,PODD3_energy,90,988,0.00023287932940787103,0.0005106307757301399,26.16517448425293,True,,6.0,1e-12,1000.0,0.0,8,12,11,10,6,2,2,0,0,0,0,0,0,True,0.05730845491533046,0.0008927072532371738,3.4432759634062293,3.4575081391726954,3.4432759634062293,3.4575081391727025,True,True,True,True,True,True,,True,0.06407401206156316,0.0009928104945320926,3.4215378436013637,3.519186425689888,3.4215378436013637,3.519186425689888,True,True,True,True,True,True,
4a58c7b4462af50f,PODD3_energy,91,988,0.00025885872703904046,0.0011029106052154517,37.840760707855225,True,,6.0,1e-12,1000.0,0.0,8,12,10,8,8,2,2,0,0,0,0,0,0,True,0.07534304150515037,0.0009792444157007785,3.4604306846684096,3.4820801445974965,3.4604306846684025,3.4820801445975036,True,True,True,True,True,True,,True,0.06276919553971161,0.000984810026885477,3.4253409856320083,3.549414677041213,3.4253409856320047,3.549414677041227,True,True,True,True,True,True,
94eb56b55d35d865,PODD3_energy,93,988,0.0002102424141578182,0.0006341486416166701,37.20947313308716,True,,6.0,1e-12,1000.0,0.0,8,12,12,8,8,2,2,0,0,0,0,0,0,True,0.05918305639798338,0.0009453243542253964,3.468951722513978,3.4790717323497127,3.468951722513978,3.4790717323497233,True,True,True,True,True,True,,True,0.060775835347514406,0.0009978981713533654,3.44966446442357,3.5279277133533604,3.449664464423563,3.527927713353364,True,True,True,True,True,True,
3de6b1e604241235,PODD3_energy,62,988,0.00045273852903259237,0.002639807827465524,19.798441410064697,True,,6.0,1e-12,1000.0,0.0,8,12,11,6,6,2,2,0,0,0,0,0,0,True,0.06533312195857463,0.0009089377266958265,3.464380405425267,3.4833834306582467,3.4643804054252527,3.4833834306582645,True,True,True,True,True,True,,True,0.06836282719293515,0.0009483464552959669,3.433303932040239,3.5548751325453196,3.433303932040239,3.5548751325453196,True,True,True,True,True,True,
b72df7f73c3cef27,PODD3_energy,61,988,0.00040190509447992744,0.0010755543760781765,20.359126329421997,True,,6.0,1e-12,1000.0,0.0,8,12,10,6,6,2,2,0,0,0,0,0,0,True,0.0649620981024415,0.0009176045630238816,3.4559590022688766,3.47471989992502,3.4559590022688766,3.4747198999250344,True,True,True,True,True,True,,True,0.0732993188304913,0.0009969796076587014,3.3466280600004907,3.709307214767243,3.3466280600004836,3.70930721476725,True,True,True,True,True,True,
9807b6c5d5c9449c,PODD3_energy,39,988,0.0007093991595006775,0.0024519085417693894,11.538556337356567,True,,6.0,1e-12,1000.0,0.0,8,12,10,4,4,2,2,0,0,0,0,0,0,True,0.07586061139909095,0.0009084632350161505,3.470375939496151,3.4919191175582185,3.4703759394961438,3.4919191175582327,True,True,True,True,True,True,,True,0.07346048788053915,0.0009341745093744177,3.407394561750557,3.613682091580234,3.407394561750543,3.6136820915802446,True,True,True,True,True,True,
3c4cdb4430c11c47,PODD3_energy,69,988,0.00030400032316758375,0.0006445705490444067,18.206790924072266,True,,6.0,1e-12,1000.0,0.0,8,12,10,10,4,2,2,0,0,0,0,0,0,True,0.06666298178036734,0.0009047086142231835,3.464938526342557,3.4828594202935435,3.464938526342557,3.4828594202935648,True,True,True,True,True,True,,True,0.06427527710761582,0.0009897737910712495,3.4417833406638785,3.5347575394851383,3.441783340663875,3.534757539485142,True,True,True,True,True,True,
84d7599e5a0f5465,PODD3_energy,61,988,0.00037932310175104887,0.0013507100830637863,18.555407524108887,True,,6.0,1e-12,1000.0,0.0,8,12,12,8,4,2,2,0,0,0,0,0,0,True,0.07342828041422297,0.0009764845901038799,3.4728902046128844,3.4900660327929636,3.4728902046128667,3.4900660327929742,True,True,True,True,True,True,,True,0.06961931135658009,0.0008166931341803473,3.451374385426565,3.5274084211246546,3.4513743854265613,3.5274084211246546,True,True,True,True,True,True,
96f4d71f86b63323,PODD3_energy,62,988,0.0003846565243301583,0.0014128301092370984,15.986355066299438,True,,6.0,1e-12,1000.0,0.0,8,12,13,8,4,2,2,0,0,0,0,0,0,True,0.07318812355193247,0.0009193895338889592,3.4732195577372273,3.4904036060088934,3.473219557737224,3.490403606008897,True,True,True,True,True,True,,True,0.06992181932122939,0.0009990738073908118,3.450459381266434,3.527962677084968,3.450459381266427,3.527962677084979,True,True,True,True,True,True,
