hash,search_model,ncoeff,n_train,test_energy_mae_per_atom_eV,test_energy_rmse_per_atom_eV,fit_time_s,meets_all_criteria,error_from_fit,rcut,regularization,weight_energy,weight_force,bessel_polynomial_degree,inverse_polynomial_degree,two_body_radial,three_body_radial,three_body_angular,four_body_radial,four_body_angular,five_body_radial,five_body_angular,six_body_radial,six_body_angular,seven_body_radial,seven_body_angular,tblg_21.78_converged,tblg_21.78_fmax_initial,tblg_21.78_fmax_after,tblg_21.78_ab_separation,tblg_21.78_aa_separation,tblg_21.78_sep_min,tblg_21.78_sep_max,tblg_21.78_ab_in_target,tblg_21.78_aa_in_target,tblg_21.78_sep_min_in_target,tblg_21.78_sep_max_in_target,tblg_21.78_ab_lt_aa,tblg_21.78_separations_ok,tblg_21.78_error,tblg_9.43_converged,tblg_9.43_fmax_initial,tblg_9.43_fmax_after,tblg_9.43_ab_separation,tblg_9.43_aa_separation,tblg_9.43_sep_min,tblg_9.43_sep_max,tblg_9.43_ab_in_target,tblg_9.43_aa_in_target,tblg_9.43_sep_min_in_target,tblg_9.43_sep_max_in_target,tblg_9.43_ab_lt_aa,tblg_9.43_separations_ok,tblg_9.43_error
9c9c5a21f8638593,POD_energy,40,988,0.0006939743693208,0.0024500835543598,8.061945915222168,True,,6.0,1e-12,1000.0,0.0,8,12,11,4,4,2,2,0,0,0,0,0,0,True,0.0690623246106082,0.0009506816903598,3.468552972483927,3.490233305675161,3.4685529724838986,3.490233305675176,True,True,True,True,True,True,,True,0.0649390879055771,0.000989804631016,3.411235880977568,3.604009300001231,3.411235880977557,3.604009300001231,True,True,True,True,True,True,
7c14cfdb66839c0b,POD_energy,47,988,0.0004063277649016,0.000638786832185,13.863715648651125,True,,6.0,1e-12,1000.0,0.0,8,12,8,6,4,2,2,0,0,0,0,0,0,True,0.0650279379423602,0.0009652009267138,3.463062776484186,3.480597122071192,3.463062776484179,3.4805971220711958,True,True,True,True,True,True,,True,0.0626971433632933,0.000991275896777,3.238338252069738,3.913722075566337,3.2383382520697097,3.913722075566348,True,True,True,True,True,True,
ed7bb7096205c2bb,POD_energy,51,988,0.0004385197453364,0.0012035809882261,10.944377899169922,True,,6.0,1e-12,1000.0,0.0,8,12,12,6,4,2,2,0,0,0,0,0,0,True,0.0641446309197888,0.0009723443078914,3.4652679905670496,3.481061332954507,3.4652679905670354,3.481061332954525,True,True,True,True,True,True,,True,0.0626904692539895,0.0009975432725419,3.3462870577276256,3.702230455454007,3.346287057727615,3.702230455454014,True,True,True,True,True,True,
491cddd7e7035d4c,POD_energy,77,988,0.0002479632245152,0.0008044150442607,20.859037399291992,True,,6.0,1e-12,1000.0,0.0,8,12,12,8,6,2,2,0,0,0,0,0,0,True,0.0639436577540611,0.0009261307177688,3.479321203486748,3.495937549392174,3.479321203486748,3.495937549392174,True,True,True,True,True,True,,True,0.062731470107276,0.0008118634512655,3.4592686365700267,3.528830105497132,3.459268636570023,3.528830105497136,True,True,True,True,True,True,
ca9f229e2a516658,POD_energy,112,988,0.000163742382736,0.0003409992480777,52.105632066726685,True,,6.0,1e-12,1000.0,0.0,8,12,13,10,8,2,2,0,0,0,0,0,0,True,0.0577573270620114,0.0008591790185264,3.464231384124893,3.477422491417421,3.4642313841248864,3.4774224914174283,True,True,True,True,True,True,,True,0.0604435024176815,0.0009977793182412,3.433321135691457,3.545960994898646,3.433321135691457,3.5459609948986497,True,True,True,True,True,True,
ec10c096e920b90f,POD_energy,90,988,0.0002237360630874,0.0006085153015837,33.22316527366638,True,,6.0,1e-12,1000.0,0.0,8,12,9,8,8,2,2,0,0,0,0,0,0,True,0.0745235000496242,0.0009831111098543,3.458466124553905,3.478406013387985,3.458466124553901,3.478406013387996,True,True,True,True,True,True,,True,0.0631954062292703,0.0009779482387854,3.423749686720786,3.5447779739302376,3.4237496867207757,3.5447779739302447,True,True,True,True,True,True,
84586beb4ae62163,POD_energy,58,988,0.0003871711201881,0.0006449975046903,17.88011884689331,True,,6.0,1e-12,1000.0,0.0,8,12,7,6,6,2,2,0,0,0,0,0,0,True,0.0632062236573902,0.0009820025183728,3.462228891787344,3.4798749071874084,3.4622288917873405,3.4798749071874155,True,True,True,True,True,True,,True,0.0661251366331719,0.0009998793692102,3.246665525161344,3.968998215244415,3.246665525161333,3.9689982152444183,True,True,True,True,True,True,
ebf97b1333383b2c,POD_energy,72,988,0.0002436224915989,0.0004275007817508,14.102432012557983,True,,6.0,1e-12,1000.0,0.0,8,12,13,10,4,2,2,0,0,0,0,0,0,True,0.0657857417791993,0.0009543824292268,3.468717200895544,3.4822306741133677,3.468717200895526,3.482230674113381,True,True,True,True,True,True,,True,0.0637081082789996,0.0009829845630766,3.4487728537818647,3.5240837526945548,3.448772853781854,3.5240837526945725,True,True,True,True,True,True,
1825c0c7871fb62c,POD_energy,90,988,0.0002212354831076,0.0004816224231718,26.298972606658936,True,,6.0,1e-12,1000.0,0.0,8,12,11,10,6,2,2,0,0,0,0,0,0,True,0.0581568983566117,0.000880086884339,3.4462912989372114,3.460297346877706,3.4462912989372043,3.4602973468777094,True,True,True,True,True,True,,True,0.0642427753775018,0.0009971712126546,3.4239793608125666,3.521181676905975,3.4239793608125666,3.5211816769059823,True,True,True,True,True,True,
a88b795de148a014,POD_energy,91,988,0.000254787648276,0.0010950629491177,33.708269119262695,True,,6.0,1e-12,1000.0,0.0,8,12,10,8,8,2,2,0,0,0,0,0,0,True,0.0759234784724702,0.0008517919357298,3.462417216341013,3.4836130524383897,3.462417216340995,3.4836130524384004,True,True,True,True,True,True,,True,0.0626620589890916,0.0009935386870949,3.4273632855403733,3.548817611788881,3.4273632855403733,3.548817611788884,True,True,True,True,True,True,
f6635b3574335c29,POD_energy,93,988,0.0001983778402413,0.000561820245278,40.71890997886658,True,,6.0,1e-12,1000.0,0.0,8,12,12,8,8,2,2,0,0,0,0,0,0,True,0.0595705349871204,0.0009542574557643,3.4699094191272266,3.479727037451653,3.4699094191272195,3.47972703745166,True,True,True,True,True,True,,True,0.0605984174137598,0.0009945747508827,3.4507964730893086,3.527302900156343,3.450796473089298,3.52730290015635,True,True,True,True,True,True,
3a2086f1e87084ea,POD_energy,62,988,0.0004083437576008,0.0021122731309404,23.653234004974365,True,,6.0,1e-12,1000.0,0.0,8,12,11,6,6,2,2,0,0,0,0,0,0,True,0.0659015090974164,0.0008378081289405,3.465716831471962,3.484991215883856,3.465716831471944,3.484991215883859,True,True,True,True,True,True,,True,0.0662034244060985,0.0009869051713294,3.432145132158933,3.55649571827302,3.4321451321589223,3.556495718273027,True,True,True,True,True,True,
bc81fad9eea9631a,POD_energy,61,988,0.0003614922036506,0.000666352541354,17.316338062286377,True,,6.0,1e-12,1000.0,0.0,8,12,10,6,6,2,2,0,0,0,0,0,0,True,0.0655168899340009,0.0009944689126891,3.456299998833831,3.475301923269342,3.456299998833821,3.475301923269342,True,True,True,True,True,True,,True,0.0712760063326331,0.0009912971540944,3.3279854995851785,3.7515611272292766,3.327985499585175,3.7515611272292873,True,True,True,True,True,True,
bbbfb750465d07f4,POD_energy,39,988,0.0006936371409211,0.002451347677508,9.080095291137695,True,,6.0,1e-12,1000.0,0.0,8,12,10,4,4,2,2,0,0,0,0,0,0,True,0.069016454746467,0.0009568550351846,3.468452306088139,3.49008199623211,3.468452306088132,3.4900819962321137,True,True,True,True,True,True,,True,0.0649117690476828,0.0009724508543747,3.4101773040747467,3.6055644463401855,3.410177304074743,3.605564446340189,True,True,True,True,True,True,
205e5cec889a7865,POD_energy,69,988,0.0002968827530875,0.000555884352103,13.657855749130247,True,,6.0,1e-12,1000.0,0.0,8,12,10,10,4,2,2,0,0,0,0,0,0,True,0.0670230138737776,0.0009515451413299,3.462982280430449,3.481310161154177,3.4629822804304453,3.481310161154191,True,True,True,True,True,True,,True,0.0639339469906591,0.0009928098447817,3.438534049177129,3.5359988627433374,3.4385340491771217,3.535998862743348,True,True,True,True,True,True,
834f559676126784,POD_energy,61,988,0.0003651127415527,0.0013008368753621,13.4324369430542,True,,6.0,1e-12,1000.0,0.0,8,12,12,8,4,2,2,0,0,0,0,0,0,True,0.0725673195074235,0.0009460363019405,3.471502427679539,3.488509878416984,3.471502427679532,3.488509878416984,True,True,True,True,True,True,,True,0.067099218463828,0.0008189402459384,3.449369937637968,3.528118856431398,3.449369937637961,3.528118856431419,True,True,True,True,True,True,
59679b5fd55644ad,POD_energy,62,988,0.0003729156437553,0.0013928806553266,14.220543146133425,True,,6.0,1e-12,1000.0,0.0,8,12,13,8,4,2,2,0,0,0,0,0,0,True,0.0722126498938794,0.0008616522464115,3.472008509490258,3.48902505843218,3.4720085094902515,3.4890250584321905,True,True,True,True,True,True,,True,0.0675440270445501,0.0009764995531889,3.4485810365178047,3.529104465107704,3.448581036517801,3.5291044651077077,True,True,True,True,True,True,
d4ad7470defc5b0b,POD_energy,42,988,0.0005416274287284,0.0012145948223371,8.37734580039978,True,,6.0,1e-12,1000.0,0.0,8,12,13,4,4,2,2,0,0,0,0,0,0,True,0.0613926814659674,0.0009070279375868,3.494070210983189,3.509410344073963,3.4940702109831747,3.509410344073977,True,True,True,True,True,True,,True,0.0585140675745411,0.000854899269039,3.4571110457706773,3.579090049856525,3.4571110457706737,3.579090049856532,True,True,True,True,True,True,
133544f237992ddc,POD_energy,46,988,0.0003995303468348,0.0006261705271707,10.149310111999512,True,,6.0,1e-12,1000.0,0.0,8,12,7,6,4,2,2,0,0,0,0,0,0,True,0.0650303952652586,0.0009669971989492,3.4629189528779136,3.4809335860045074,3.4629189528778923,3.480933586004511,True,True,True,True,True,True,,True,0.0630627651997345,0.0009895504562323,3.2539835955151624,3.880419521157648,3.2539835955151446,3.880419521157648,True,True,True,True,True,True,
8eef7669ce4d2b23,POD_energy,89,988,0.0002295584242649,0.000496264313938,23.385841369628903,True,,6.0,1e-12,1000.0,0.0,8,12,10,10,6,2,2,0,0,0,0,0,0,True,0.0620868522075349,0.0008950331674629,3.440581922336268,3.457228465318231,3.440581922336257,3.457228465318245,True,True,True,True,True,True,,True,0.0655598123694634,0.0009888792368292,3.408869483470891,3.5285903568814767,3.4088694834708875,3.528590356881488,True,True,True,True,True,True,
