hash,ncoeff,n_train,test_energy_mae_per_atom_eV,test_energy_rmse_per_atom_eV,fit_time_s,meets_all_criteria,error_from_fit,rcut,regularization,weight_energy,weight_force,bessel_polynomial_degree,inverse_polynomial_degree,two_body_radial,three_body_radial,three_body_angular,four_body_radial,four_body_angular,five_body_radial,five_body_angular,six_body_radial,six_body_angular,seven_body_radial,seven_body_angular,tblg_21.78_converged,tblg_21.78_fmax_initial,tblg_21.78_fmax_after,tblg_21.78_ab_separation,tblg_21.78_aa_separation,tblg_21.78_ab_in_target,tblg_21.78_aa_in_target,tblg_21.78_error,tblg_9.43_converged,tblg_9.43_fmax_initial,tblg_9.43_fmax_after,tblg_9.43_ab_separation,tblg_9.43_aa_separation,tblg_9.43_ab_in_target,tblg_9.43_aa_in_target,tblg_9.43_error,tblg_21.78_ab_lt_aa,tblg_21.78_sep_min_in_target,tblg_21.78_sep_max_in_target,tblg_21.78_separations_ok,tblg_9.43_ab_lt_aa,tblg_9.43_sep_min_in_target,tblg_9.43_sep_max_in_target,tblg_9.43_separations_ok
1f68c23b997e802d,113,714,0.001325361342776,0.0070688343443753,7.16406512260437,False,,6.0,1e-12,1000.0,1.0,4,14,12,8,6,4,4,0,0,0,0,0,0,False,0.2541971869323546,,,,True,True,"RuntimeError: Relaxation failed in PODLammpsCalculator.relax_structure (LAMMPS FIRE)
Original error (Exception): ERROR: Lost atoms: original 28 current 4 (src/thermo.cpp:510)
Last input line: minimize 1e-09 0.01

--- diagnostics ---
Structure: N=28 atoms, z span [20.0000, 23.3500] Å
Min pairwi",False,0.2759059086774467,,,,True,True,"RuntimeError: Relaxation failed in PODLammpsCalculator.relax_structure (LAMMPS FIRE)
Original error (Exception): ERROR: Lost atoms: original 148 current 30 (src/thermo.cpp:510)
Last input line: minimize 1e-09 0.0

--- diagnostics ---
Structure: N=148 atoms, z span [20.0000, 23.3500] Å
Min pair",False,False,False,False,False,False,False,False
e1afd26cdb44efa3,69,714,0.0020725686665447,0.0175878891100889,4.1471006870269775,False,,6.0,1e-12,1000.0,1.0,6,14,12,8,6,0,0,0,0,0,0,0,0,False,0.1834065122895574,,,,True,True,"RuntimeError: Relaxation failed in PODLammpsCalculator.relax_structure (LAMMPS FIRE)
Original error (Exception): ERROR: Lost atoms: original 28 current 10 (src/thermo.cpp:510)
Last input line: minimize 1e-09 0.01

--- diagnostics ---
Structure: N=28 atoms, z span [20.0000, 23.3500] Å
Min pairw",False,0.1593481254696515,,,,True,True,"RuntimeError: Relaxation failed in PODLammpsCalculator.relax_structure (LAMMPS FIRE)
Original error (Exception): ERROR: Lost atoms: original 148 current 44 (src/thermo.cpp:510)
Last input line: minimize 1e-09 0.0

--- diagnostics ---
Structure: N=148 atoms, z span [20.0000, 23.3500] Å
Min pair",False,False,False,False,False,False,False,False
3ffdb67b10defd1f,43,714,0.0012576659820249,0.0036249048617702,1.6134955883026123,True,,6.0,1e-12,1000.0,1.0,2,10,8,6,2,4,2,0,0,0,0,0,0,True,0.1407825742348252,0.0176543841971256,3.464286287685692,3.5045520615183534,True,True,,True,0.1539709013656991,0.0040249414405517,3.4225179268252788,3.528903089346933,True,True,,True,True,True,True,True,True,True,True
65f4d6578cc4d796,45,714,0.0012449700340507,0.0072279543721328,2.142334222793579,False,,6.0,1e-12,1000.0,1.0,4,8,12,8,2,2,2,0,0,0,0,0,0,True,0.0704719285314527,0.002280852793916,3.473431420504852,3.493054212482484,True,True,,False,0.0681683991585719,,,,True,True,"RuntimeError: Relaxation failed in PODLammpsCalculator.relax_structure (LAMMPS FIRE)
Original error (Exception): ERROR: Lost atoms: original 148 current 16 (src/thermo.cpp:510)
Last input line: minimize 1e-09 0.0

--- diagnostics ---
Structure: N=148 atoms, z span [20.0000, 23.3500] Å
Min pair",True,True,True,True,False,False,False,False
e3ae9537c48e6293,149,714,0.001773500577737,0.0104914999999179,10.206405401229858,False,,6.0,1e-12,1000.0,1.0,2,8,10,10,4,8,4,0,0,0,0,0,0,False,1.1409517215641425,,,,True,True,"RuntimeError: Relaxation failed in PODLammpsCalculator.relax_structure (LAMMPS FIRE)
Original error (Exception): ERROR: Lost atoms: original 28 current 0 (src/thermo.cpp:510)
Last input line: minimize 1e-09 0.01

--- diagnostics ---
Structure: N=28 atoms, z span [20.0000, 23.3500] Å
Min pairwi",False,1.3242203837284088,,,,True,True,"RuntimeError: Relaxation failed in PODLammpsCalculator.relax_structure (LAMMPS FIRE)
Original error (Exception): ERROR: Lost atoms: original 148 current 2 (src/thermo.cpp:510)
Last input line: minimize 1e-09 0.01

--- diagnostics ---
Structure: N=148 atoms, z span [20.0000, 23.3500] Å
Min pair",False,False,False,False,False,False,False,False
b395d519c5742dcf,117,714,0.0011762196338935,0.0055205524623068,6.639880895614624,False,,6.0,1e-12,1000.0,1.0,4,12,12,10,4,4,4,2,2,0,0,0,0,False,0.3383940964996287,,,,True,True,"RuntimeError: Relaxation failed in PODLammpsCalculator.relax_structure (LAMMPS FIRE)
Original error (Exception): ERROR: Lost atoms: original 28 current 22 (src/thermo.cpp:510)
Last input line: minimize 1e-09 0.01

--- diagnostics ---
Structure: N=28 atoms, z span [20.0000, 23.3500] Å
Min pairw",False,0.2790075862555234,,,,True,True,"RuntimeError: Relaxation failed in PODLammpsCalculator.relax_structure (LAMMPS FIRE)
Original error (Exception): ERROR: Lost atoms: original 148 current 2 (src/thermo.cpp:510)
Last input line: minimize 1e-09 0.01

--- diagnostics ---
Structure: N=148 atoms, z span [20.0000, 23.3500] Å
Min pair",False,False,False,False,False,False,False,False
c5c9b2bfde58e33e,105,714,,,,False,FileNotFoundError: C_coefficients.pod not found.,6.0,1e-12,1000.0,1.0,6,10,10,6,2,4,4,4,2,0,0,0,0,,,,,,True,True,,,,,,,True,True,,False,False,False,False,False,False,False,False
308985a7e7de4a2b,141,714,0.0021908291505195,0.0124186231836263,8.193805694580078,False,,6.0,1e-12,1000.0,1.0,0,14,12,8,4,8,4,0,0,0,0,0,0,False,0.5778337196265247,,,,True,True,"RuntimeError: Relaxation failed in PODLammpsCalculator.relax_structure (LAMMPS FIRE)
Original error (Exception): ERROR: Lost atoms: original 28 current 0 (src/thermo.cpp:510)
Last input line: minimize 1e-09 0.01

--- diagnostics ---
Structure: N=28 atoms, z span [20.0000, 23.3500] Å
Min pairwi",False,0.6316522517090415,,,,True,True,"RuntimeError: Relaxation failed in PODLammpsCalculator.relax_structure (LAMMPS FIRE)
Original error (Exception): ERROR: Lost atoms: original 148 current 8 (src/thermo.cpp:510)
Last input line: minimize 1e-09 0.01

--- diagnostics ---
Structure: N=148 atoms, z span [20.0000, 23.3500] Å
Min pair",False,False,False,False,False,False,False,False
bdc397e0a8d9342c,105,714,0.0012236006023794,0.006488597139492,6.431097984313965,False,,6.0,1e-12,1000.0,1.0,4,12,10,10,4,4,4,0,0,0,0,0,0,False,0.2542089230934335,,,,True,True,"RuntimeError: Relaxation failed in PODLammpsCalculator.relax_structure (LAMMPS FIRE)
Original error (Exception): ERROR: Lost atoms: original 28 current 0 (src/thermo.cpp:510)
Last input line: minimize 1e-09 0.01

--- diagnostics ---
Structure: N=28 atoms, z span [20.0000, 23.3500] Å
Min pairwi",False,0.2166310459334409,,,,True,True,"RuntimeError: Relaxation failed in PODLammpsCalculator.relax_structure (LAMMPS FIRE)
Original error (Exception): ERROR: Lost atoms: original 148 current 0 (src/thermo.cpp:510)
Last input line: minimize 1e-09 0.01

--- diagnostics ---
Structure: N=148 atoms, z span [20.0000, 23.3500] Å
Min pair",False,False,False,False,False,False,False,False
46870e424427f53d,31,714,,,0.3382689952850342,False,,6.0,1e-12,1000.0,1.0,0,8,10,4,4,0,0,0,0,0,0,0,0,True,0.2156059845003768,0.0030980245471353,3.466133316254144,3.536127316959373,True,True,,True,0.1673566512504435,0.0014631611224058,2.325932863993838,7.361411123538716,False,False,,False,False,False,False,False,False,False,False
